cluster,benefits,knows_options,wellness_discussed,resources_offered,anonymity_protected,leave_ease,employer_takes_seriously,fear_negative_mh,fear_negative_phys,comfort_coworkers,comfort_supervisor,observed_negative_consequences,family_history,past_disorder,current_disorder,sought_treatment,company_size,is_tech_company,remote_work,age,n_respondents,share_%
0,0.7,0.55,0.17,0.38,0.59,0.44,0.45,0.44,0.75,0.36,0.44,0.87,0.73,0.76,0.67,0.79,3.73,0.72,0.92,33.19,203,17.7
1,0.54,0.33,0.21,0.32,0.6,0.64,0.62,0.76,0.93,0.53,0.64,0.97,0.23,0.11,0.1,0.07,3.47,0.83,0.98,32.3,329,28.7
2,0.52,0.4,0.09,0.25,0.49,0.4,0.29,0.32,0.73,0.21,0.25,0.86,0.66,0.75,0.64,0.71,3.72,0.76,0.74,33.97,312,27.2
3,0.86,0.7,0.55,0.7,0.76,0.68,0.74,0.85,0.96,0.71,0.85,0.95,0.71,0.82,0.68,0.84,4.12,0.74,1.04,34.8,255,22.3
4,0.67,0.49,0.23,0.33,0.61,0.51,0.45,0.55,0.81,0.49,0.51,0.87,0.78,0.84,0.73,0.81,3.66,0.85,0.83,30.17,47,4.1
